;Pais;Region;Poblacion;Area (sq. mi.);PIB ($ per capita);Densidad de Poblacion (por sq. mi.);Migracion Neta;Mortalidad Infantil (por 1000 nacimientos);Alfabetizacion (%);Telefonos (por 1000);Tasa de Natalidad;Tasa de Mortalidad;Agricultura;Industria;Servicios
25;Brunei ;ASIA (EX. NEAR EAST)         ;379444;5770;18600.0;65,8;3,59;12,61;93,9;237,2;18,79;3,45;0,036;0,561;0,403
26;Bulgaria ;EASTERN EUROPE                     ;7385367;110910;7600.0;66,6;-4,58;20,55;98,6;336,3;9,65;14,27;0,093;0,304;0,603
27;Burkina Faso ;SUB-SAHARAN AFRICA                 ;13902972;274200;1100.0;50,7;0;97,57;26,6;7,0;45,62;15,6;0,322;0,196;0,482
28;Burma ;ASIA (EX. NEAR EAST)         ;47382633;678500;1800.0;69,8;-1,8;67,24;85,3;10,1;17,91;9,83;0,564;0,082;0,353
29;Burundi ;SUB-SAHARAN AFRICA                 ;8090068;27830;600.0;290,7;-0,06;69,29;51,6;3,4;42,22;13,46;0,463;0,203;0,334
30;Cambodia ;ASIA (EX. NEAR EAST)         ;13881427;181040;1900.0;76,7;0;71,48;69,4;2,6;26,9;9,06;0,35;0,3;0,35
31;Cameroon ;SUB-SAHARAN AFRICA                 ;17340702;475440;1800.0;36,5;0;68,26;79,0;5,7;33,89;13,47;0,448;0,17;0,382
32;Cape Verde ;SUB-SAHARAN AFRICA                 ;420979;4033;1400.0;104,4;-12,07;47,77;76,6;169,6;24,87;6,55;0,121;0,219;0,66
33;Cayman Islands ;LATIN AMER. & CARIB    ;45436;262;35000.0;173,4;18,75;8,19;98,0;836,3;12,74;4,89;0,014;0,032;0,954
34;Central African Rep. ;SUB-SAHARAN AFRICA                 ;4303356;622984;1100.0;6,9;0;91;51,0;2,3;33,91;18,65;0,55;0,2;0,25
35;Chad ;SUB-SAHARAN AFRICA                 ;9944201;1284000;1200.0;7,7;-0,11;93,82;47,5;1,3;45,73;16,38;0,335;0,259;0,406
36;Chile ;LATIN AMER. & CARIB    ;16134219;756950;9900.0;21,3;0;8,8;96,2;213,0;15,23;5,81;0,06;0,493;0,447
